Id,Label,kind,highlight
End of history,End of history,predicament,d2
Energy,Energy,predicament,d1
Energy consumption increasing,Energy consumption increasing,predicament,d2
Energy inefficiencies,Energy inefficiencies,predicament,d2
Evil,Evil,predicament,d2
Exponential technology,Exponential technology,predicament,d2
Extreme weather,Extreme weather,predicament,d2
Failure to take responsibility,Failure to take responsibility,predicament,d1
Faulty meta-optimisation,Faulty meta-optimisation,predicament,d2
Fear,Fear,predicament,base
Finite games,Finite games,predicament,d2
Genetic modification,Genetic modification,predicament,d2
Genocide,Genocide,predicament,base
Global supply chains,Global supply chains,predicament,d1
Globalisation,Globalisation,predicament,d2
Government,Government,predicament,d2
Greed,Greed,predicament,d2
Greenwashing,Greenwashing,predicament,d2
Growth,Growth,predicament,d2
Healthcare,Healthcare,predicament,d2
Hedonism,Hedonism,predicament,d2
Hemispherical asymmetry (Brain),Hemispherical asymmetry (Brain),predicament,d2
Hemispherical asymmetry (Earth),Hemispherical asymmetry (Earth),predicament,d2
Hobbesian views,Hobbesian views,predicament,d2
Hyperstimuli,Hyperstimuli,predicament,d2
Identity,Identity,predicament,d2
Ignorance of everything being sacred,Ignorance of everything being sacred,predicament,d2
Ignorance of interconnectedness,Ignorance of interconnectedness,predicament,d2
Ignorance of ongoing collapse,Ignorance of ongoing collapse,predicament,d2
Ignorance of the mystical,Ignorance of the mystical,predicament,d2
Ignorance of the mythical,Ignorance of the mythical,predicament,base
Ignored externalities,Ignored externalities,predicament,d1
Ignoring complexity,Ignoring complexity,predicament,d2
Ignoring diversity,Ignoring diversity,predicament,d2
Illusion of GDP decoupling,Illusion of GDP decoupling,predicament,d2
Illusion of competence,Illusion of competence,predicament,d2
Illusion of no option,Illusion of no option,predicament,d1
Illusion of understanding,Illusion of understanding,predicament,d2
Immoral justifications,Immoral justifications,predicament,d2
Imprisonment,Imprisonment,predicament,d2
Individualism,Individualism,predicament,d2
Industrial slaughter,Industrial slaughter,predicament,d1
Ineffective institutions,Ineffective institutions,predicament,d1
Inequality,Inequality,predicament,d2
Inertia,Inertia,predicament,d2
Information isn't knowledge,Information isn't knowledge,predicament,d2
Insect loss,Insect loss,predicament,d2
Investing,Investing,predicament,d2
Jevons paradox,Jevons paradox,predicament,d2
Knowledge isn't wisdom,Knowledge isn't wisdom,predicament,d2
LGBTQ+,LGBTQ+,predicament,base
Lack of a living world view,Lack of a living world view,predicament,d2
Lack of agency,Lack of agency,predicament,d1
Lack of attentiveness,Lack of attentiveness,predicament,d2
Lack of balance,Lack of balance,predicament,d2
Lack of belonging,Lack of belonging,predicament,d1
Lack of communities,Lack of communities,predicament,d1
Lack of compassion,Lack of compassion,predicament,base
Lack of cultural control systems,Lack of cultural control systems,predicament,d2
Lack of dark spaces,Lack of dark spaces,predicament,base
Lack of empathy,Lack of empathy,predicament,d2
Lack of faith in anything,Lack of faith in anything,predicament,d2
Lack of feeling needed,Lack of feeling needed,predicament,d1
Lack of historical insight,Lack of historical insight,predicament,base
Lack of humility,Lack of humility,predicament,d2
Lack of love,Lack of love,predicament,d2
Lack of masculine and feminine,Lack of masculine and feminine,predicament,d2
Lack of purpose,Lack of purpose,predicament,d1
Lack of quiet spaces,Lack of quiet spaces,predicament,d2
Lack of resilient systems,Lack of resilient systems,predicament,d1
Lack of systems thinking,Lack of systems thinking,predicament,d2
Lack of the longterm,Lack of the longterm,predicament,d2
Lack of time,Lack of time,predicament,d2
Lack of visions,Lack of visions,predicament,d2
Language,Language,predicament,d2
Laws,Laws,predicament,d2
Limits to growth,Limits to growth,predicament,d2
Lobbyism,Lobbyism,predicament,d2
Loneliness,Loneliness,predicament,d1
Loss of cultural complexity,Loss of cultural complexity,predicament,d1
Madness of safety,Madness of safety,predicament,d2
Malnutrition,Malnutrition,predicament,d2
Map and territory,Map and territory,predicament,d2
Mass climate migration,Mass climate migration,predicament,d2
Material extraction,Material extraction,predicament,d2
Maximum power principle,Maximum power principle,predicament,d2
Meaning crisis,Meaning crisis,predicament,d2
Meat eating,Meat eating,predicament,d2
Mental health,Mental health,predicament,d2
Microplastics,Microplastics,predicament,d2
Migration,Migration,predicament,d2
Mind-body separation,Mind-body separation,predicament,base
Misinformation,Misinformation,predicament,d2
Missing elders,Missing elders,predicament,d2
Mistreatment of animals,Mistreatment of animals,predicament,d2
Mistreatment of other humans,Mistreatment of other humans,predicament,d2
Modern slavery,Modern slavery,predicament,d2
Moloch,Moloch,predicament,d2
Monocultures (agriculture),Monocultures (agriculture),predicament,d1
Monocultures (people),Monocultures (people),predicament,d1
Monopolies,Monopolies,predicament,d2
Multipolar traps,Multipolar traps,predicament,d2
Naive progress narrative,Naive progress narrative,predicament,d2
Naive techno-optimism,Naive techno-optimism,predicament,d2
Naive techno-pessimism,Naive techno-pessimism,predicament,base
National borders,National borders,predicament,d2
News,News,predicament,d2
Nihilism,Nihilism,predicament,d2
No precautionary principle,No precautionary principle,predicament,base
No respect for indigenous wisdom,No respect for indigenous wisdom,predicament,d2
No value in maintenance,No value in maintenance,predicament,d1
Nothing is local,Nothing is local,predicament,d1
Nuclear war,Nuclear war,predicament,d2
Obesity,Obesity,predicament,d2
Ocean acidification,Ocean acidification,predicament,base
Only 'can we' never 'should we',Only 'can we' never 'should we',predicament,d2
Oppressive tyrannies for the good of its victims,Oppressive tyrannies for the good of its victims,predicament,d2
Out of touch with seasons,Out of touch with seasons,predicament,d2
Over-reliance on technology,Over-reliance on technology,predicament,d2
Pandemics,Pandemics,predicament,d2
Parenting,Parenting,predicament,d1
Planetary boundaries,Planetary boundaries,predicament,d2
"Poisoning the water, the earth, the air","Poisoning the water, the earth, the air",predicament,d2
Polarisation,Polarisation,predicament,d2
Pollution,Pollution,predicament,d2
Population growth,Population growth,predicament,d2
Populations entering the 'middle class',Populations entering the 'middle class',predicament,d2
Poverty,Poverty,predicament,d2
Power concentration to the wrong people,Power concentration to the wrong people,predicament,d2
Profit,Profit,predicament,d2
Propaganda,Propaganda,predicament,d2
Public transport,Public transport,predicament,d2
Quality,Quality,predicament,d2
Quantification,Quantification,predicament,d2
Racism,Racism,predicament,d2
Rationalism,Rationalism,predicament,base
Reductionism,Reductionism,predicament,d2
Resource conflicts,Resource conflicts,predicament,d2
Resources,Resources,predicament,d1
Sameness,Sameness,predicament,d1
Scientism,Scientism,predicament,base
Sedentary lifestyles,Sedentary lifestyles,predicament,d2
Selfishness,Selfishness,predicament,d2
Sense-making crisis,Sense-making crisis,predicament,d2
Sex and sexuality,Sex and sexuality,predicament,d2
Sexism,Sexism,predicament,d2
Signal-to-noise ratio,Signal-to-noise ratio,predicament,d2
Simplifications,Simplifications,predicament,d2
Slow change,Slow change,predicament,d2
Social erosion,Social erosion,predicament,d2
Social media,Social media,predicament,d2
Soil erosion,Soil erosion,predicament,d2
Solutionism,Solutionism,predicament,d2
Spiritual metacrisis,Spiritual metacrisis,predicament,d2
Status,Status,predicament,d2
Story of separation,Story of separation,predicament,d2
Suicide,Suicide,predicament,d2
Surveillance,Surveillance,predicament,d2
Sustainable growth,Sustainable growth,predicament,d2
Synthetic biology,Synthetic biology,predicament,d2
The Dark Triad,The Dark Triad,predicament,base
The death of creative work,The death of creative work,predicament,d1
The desacration of all places,The desacration of all places,predicament,d1
The impossibility of UBI,The impossibility of UBI,predicament,d2
The minimisation of all things wild,The minimisation of all things wild,predicament,d2
The spectacle,The spectacle,predicament,d2
Tipping points,Tipping points,predicament,d2
Too much speed and noise,Too much speed and noise,predicament,d2
Traffic noise,Traffic noise,predicament,d1
Tragedy of the vanishing commons,Tragedy of the vanishing commons,predicament,d1
Transportation infrastructure,Transportation infrastructure,predicament,d2
Travel,Travel,predicament,d2
Unbalanced longtermism,Unbalanced longtermism,predicament,d2
Unemployment,Unemployment,predicament,d1
Unheeded warnings,Unheeded warnings,predicament,d2
Unpaid important labour,Unpaid important labour,predicament,d1
Views on human nature,Views on human nature,predicament,d2
Violence,Violence,predicament,d2
Virtue signalling,Virtue signalling,predicament,d2
War,War,predicament,d2
Waste,Waste,predicament,d1
Weber's iron cage,Weber's iron cage,predicament,d1
Wisdom crisis,Wisdom crisis,predicament,d2
Yuppie dystopia,Yuppie dystopia,predicament,d2
